Dates;US10Y;CorePCE;Unemployment;FedFunds;ED2;ED6
30/06/1986;7.321;3.47487;7.2;6.88;77.899;75.951
31/07/1986;7.275;3.35909;7;6.38;78.268;75.477
31/08/1986;6.919;3.06802;6.9;5.88;78.939;75.837
30/09/1986;7.421;3.19417;7;5.88;78.587;75.362
31/10/1986;7.321;3.37644;7;5.88;78.796;75.608
30/11/1986;7.136;3.3425;6.9;5.88;78.88;75.902
31/12/1986;7.223;3.19456;6.6;6;78.754;76.074
31/01/1987;7.178;2.88472;6.6;6;78.679;76.237
28/02/1987;7.159;2.82472;6.6;6;78.595;76.287
31/03/1987;7.537;2.81614;6.6;6;78.301;76.057
30/04/1987;8.179;3.06546;6.3;6.5;77.446;75.114
31/05/1987;8.463;3.17915;6.3;6.75;77.337;74.885
30/06/1987;8.367;3.15345;6.2;6.75;77.731;75.163
31/07/1987;8.652;3.232;6.1;6.75;77.731;75.016
31/08/1987;8.967;3.36667;6;6.75;77.529;74.769
30/09/1987;9.587;3.43586;5.9;7.25;77.014;74.243
31/10/1987;8.875;3.52916;6;6.88;78.03;74.803
30/11/1987;8.972;3.5252;5.8;6.88;78.123;75.009
31/12/1987;8.859;3.61103;5.7;6.88;78.217;75.034
31/01/1988;8.256;3.85152;5.7;6.63;78.692;75.644
29/02/1988;8.149;3.85795;5.7;6.5;78.896;75.875
31/03/1988;8.542;3.99423;5.7;6.75;78.641;75.569
30/04/1988;8.889;4.05791;5.4;6.75;78.309;75.388
31/05/1988;9.151;4.12164;5.6;7.25;78.02;75.115
30/06/1988;8.873;4.27395;5.4;7.5;78.343;75.379
31/07/1988;9.105;4.42966;5.4;7.75;77.907;75.082
31/08/1988;9.236;4.33692;5.6;8.25;77.583;74.842
30/09/1988;8.935;4.48355;5.4;8.25;77.959;75.181
31/10/1988;8.644;4.43357;5.4;8.25;78.172;75.495
30/11/1988;9.054;4.50138;5.3;8.38;77.703;75.115
31/12/1988;9.137;4.62696;5.3;8.75;77.31;74.775
31/01/1989;8.98;4.66307;5.4;8.75;77.199;74.891
28/02/1989;9.295;4.71291;5.2;9.75;76.38;74.618
31/03/1989;9.275;4.57957;5;9.75;76.021;74.312
30/04/1989;9.053;4.42287;5.2;9.75;76.976;74.717
31/05/1989;8.6;4.37932;5.2;9.75;77.539;75.081
30/06/1989;8.077;4.21397;5.3;9.63;78.008;75.618
31/07/1989;7.804;4.05887;5.2;9;78.476;76.023
31/08/1989;8.251;3.94765;5.2;9;77.701;75.329
30/09/1989;8.286;3.75003;5.3;9;77.557;75.32
31/10/1989;7.909;3.73256;5.3;8.5;78.177;75.841
30/11/1989;7.826;3.72398;5.4;8.5;78.339;75.941
31/12/1989;7.935;3.67575;5.4;8.25;78.152;75.907
31/01/1990;8.418;3.54995;5.4;8.25;77.677;75.46
28/02/1990;8.515;3.79065;5.3;8.25;77.669;75.46
31/03/1990;8.628;3.97653;5.2;8.25;77.423;75.278
30/04/1990;9.022;3.9391;5.4;8.25;77.194;74.988
31/05/1990;8.599;3.945;5.4;8.25;77.754;75.493
30/06/1990;8.412;4.07401;5.2;8.25;78.017;75.825
31/07/1990;8.341;4.06992;5.5;8;78.349;76.124
31/08/1990;8.846;4.35463;5.7;8;78.238;75.841
30/09/1990;8.795;4.35868;5.9;8;78.162;75.85
31/10/1990;8.617;4.33501;5.9;7.75;78.442;76.116
30/11/1990;8.252;4.18286;6.2;7.5;78.425;76.506
31/12/1990;8.067;4.03234;6.3;7;78.824;76.714
31/01/1991;8.007;4.15031;6.4;6.75;78.918;76.831
