Dates;DMEquitiesCAD;DMEquitiesFRF;DMEquitiesDEM;DMEquitiesJPY;DMEquitiesCHF;DMEquitiesGBP;DMEquitiesUSD;DMEquitiesEUR;DMEquitiesNDQ;DMFXEUR;DMFXGBP;DMFXJPY;DMFXCHF;BondsDEM;BondsFRF;BondsGBP;BondsUSD
03/01/2000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
04/01/2000;0.97607469;0.958445164;0.975641841;0.997245887;0.960050409;0.961769939;0.961523715;0.960624293;0.925347292;1.014569624;1.007269532;0.984769727;1.015758598;0.990356111;0.998273602;0.986431302;1.00563815
05/01/2000;0.964724797;0.925858781;0.962979153;0.959131384;0.948538696;0.942857239;0.963296054;0.936773627;0.913641459;1.017907446;1.009551119;0.976200869;1.018792337;0.99209855;0.998545595;0.979461543;0.996842066
06/01/2000;0.960085031;0.920773412;0.958868834;0.934595667;0.961604454;0.929909285;0.964248917;0.928391392;0.861619761;1.018980032;1.014850806;0.963130114;1.019078806;0.989268355;0.999564812;0.979060841;1.000718532
07/01/2000;1.001680364;0.935809204;1.004101271;0.92844871;0.983672665;0.938045404;0.99020738;0.958919893;0.926518275;1.012963994;1.008818278;0.961080162;1.011796837;0.993004494;0.998714079;0.983295408;1.004965179
10/01/2000;1.00124519;0.953542797;1.025229418;0.928437298;0.984153877;0.952414991;1.000810657;0.972817774;0.980621722;1.010492612;1.008451292;0.961723257;1.008270912;0.998635233;1.003955227;0.988797971;1.000364486
11/01/2000;0.997911479;0.948013969;1.02006166;0.974776788;0.979795566;0.939458711;0.987597016;0.964129316;0.929899115;1.013631764;1.014489216;0.957681383;1.010938547;0.992938167;0.994654588;0.982330813;0.992250865
12/01/2000;0.9843879;0.942624491;1.023158958;0.962052409;0.98239537;0.941301701;0.98316181;0.959636524;0.911301493;1.011062473;1.013876824;0.956870699;1.00825168;0.988129098;0.991513073;0.979083059;0.989780141
13/01/2000;0.992985672;0.951105193;1.029454154;0.962661046;0.981913351;0.940940922;0.994961486;0.967838387;0.947846191;1.010855454;1.015666474;0.953493557;1.006281585;0.989070936;0.996175481;0.986365412;0.996146315
14/01/2000;0.982514933;0.977051882;1.061509771;0.957005419;0.992041619;0.959034923;1.005410877;0.997038789;0.97580968;0.99618386;1.007231735;0.954799501;0.99009109;0.992710316;0.99995089;0.982914627;0.991925295
17/01/2000;0.994950867;0.986124971;1.073895212;0.976574312;0.990974502;0.960243222;1.00490482;1.008697507;0.978279755;0.992042508;1.00489343;0.965780806;0.986522943;0.988205569;0.99330898;0.978112334;0.991557012
18/01/2000;1.01082673;0.957370252;1.046163593;0.967205902;0.977438085;0.936340624;0.997879522;0.983285717;0.990245806;0.994493528;1.00859154;0.959102647;0.988581276;0.984873632;0.98771273;0.970813126;0.986249178
19/01/2000;1.012568019;0.95331811;1.048865909;0.947136354;0.968423424;0.927674446;0.998280074;0.98489935;1.001429201;0.993398342;1.010318113;0.956611505;0.98779698;0.981939655;0.983789991;0.975670582;0.987670106
20/01/2000;1.017099629;0.963402262;1.051967086;0.948197665;0.957070155;0.913597251;0.991034032;0.987125469;1.009233756;0.992998036;1.0151863;0.959029663;0.988124696;0.983386356;0.985814826;0.972938454;0.984482747
21/01/2000;1.00888186;0.958518584;1.034135304;0.944726035;0.955022588;0.913093832;0.987979042;0.974942411;1.012614596;0.990335939;1.016668048;0.964108287;0.986232193;0.987839602;0.988283915;0.976275848;0.984142939
24/01/2000;0.993413779;0.959863839;1.024864454;0.956800906;0.940592877;0.917565555;0.96018798;0.975100732;0.958120821;0.985607804;1.017596046;0.957128614;0.980251343;0.989610913;0.98957588;0.977238146;0.991242832
25/01/2000;1.000605458;0.944028982;1.00668131;0.947864595;0.917704854;0.902202581;0.965850124;0.961728308;0.98621442;0.989632869;1.015937418;0.954915916;0.983512984;0.991363496;0.99347822;0.9828043;0.990885939
26/01/2000;1.014239572;0.952174434;1.030201924;0.966194649;0.918810097;0.916643372;0.96164732;0.975749563;0.950578486;0.984316613;1.010398523;0.953881539;0.979263954;0.993214398;0.996074994;0.983093142;0.991239985
27/01/2000;1.0266666;0.959173932;1.053279233;0.978857199;0.938539678;0.925887428;0.957769307;0.989438392;0.945766444;0.971634556;1.008431771;0.962112179;0.965916471;0.992064997;0.990797581;0.974989465;0.991243782
28/01/2000;0.991365509;0.966285264;1.044383545;0.988552819;0.927432616;0.916333741;0.931392347;0.988523496;0.903887265;0.963180928;0.997473241;0.955737595;0.958074537;0.984227533;0.986725246;0.972943817;0.994452971
31/01/2000;1.001984508;0.953993084;1.009940452;0.991652846;0.909479563;0.900615988;0.954413963;0.968719407;0.939653309;0.961608109;0.998339254;0.943239451;0.959087681;0.987190382;0.993667104;0.980315811;0.992662811
01/02/2000;1.006183778;0.973074623;1.041587655;0.985369509;0.926640904;0.90368119;0.964395095;0.991056783;0.968525561;0.956104183;0.994708795;0.935536238;0.953311682;0.99314573;0.995905755;0.991460378;0.996213707
02/02/2000;1.035706007;1.00221342;1.059434959;0.993904125;0.936109713;0.905234055;0.964218145;1.013917447;0.971257857;0.955316824;0.987875912;0.930873042;0.951147049;0.995694233;1.000601406;0.990532558;0.997627041
03/02/2000;1.046081866;1.036295118;1.086263111;1.00413778;0.94733341;0.90816749;0.974989385;1.043799366;1.012484487;0.96700777;0.987141044;0.932551244;0.964972101;0.994339609;0.994542013;0.994682848;1.007916191
04/02/2000;1.090252919;1.057435059;1.099503147;1.010946543;0.942774368;0.887998463;0.974442966;1.059139457;1.016125545;0.962587258;0.978459854;0.939846137;0.959830367;1.001689378;1.000664115;0.987777446;1.004385228
07/02/2000;1.077516035;1.044971674;1.077282251;1.018813285;0.94030099;0.878021197;0.973878885;1.043164379;1.029262581;0.960916478;0.979264827;0.930348002;0.959568032;0.992060315;0.994746008;0.986193793;0.995139231
08/02/2000;1.095927799;1.060717332;1.114615275;1.008801641;0.940188868;0.901860634;0.985725624;1.071220163;1.065156732;0.968872269;0.992389235;0.921162701;0.96589581;0.992712657;0.998320445;0.989322791;0.997624194
09/02/2000;1.093146304;1.056225542;1.126204222;1.014768724;0.927038845;0.90595214;0.965243538;1.074558646;1.034334841;0.972210021;0.992086343;0.923342644;0.968660839;0.99446524;0.999694008;0.986669578;0.991937635
