;ETF1;ETF2
01/01/2001;17.9;0.927
02/01/2001;17.7;0.918
03/01/2001;17.35;0.9
04/01/2001;17.95;0.936
05/01/2001;18.35;0.936
08/01/2001;18.15;1.001
09/01/2001;18.45;0.982
10/01/2001;18.7;0.991
11/01/2001;18.15;0.936
12/01/2001;18.3;0.973
15/01/2001;17.95;0.973
16/01/2001;17.9;0.991
17/01/2001;17.8;0.946
18/01/2001;18.1;0.973
19/01/2001;17.85;0.982
22/01/2001;18.3;1.001
23/01/2001;18.5;1.001
24/01/2001;18.5;1.001
25/01/2001;18.5;1.001
26/01/2001;18.5;1.001
29/01/2001;18.6;1.01
30/01/2001;18.9;0.964
31/01/2001;18.95;1.01
01/02/2001;19;0.982
02/02/2001;18.55;1.001
05/02/2001;18.75;0.982
06/02/2001;18.45;0.973
07/02/2001;18.7;1.001
08/02/2001;18.65;1.028
09/02/2001;18.4;1.102
12/02/2001;18.25;1.129
13/02/2001;17.9;1.074
14/02/2001;17.85;1.065
15/02/2001;17.7;1.056
16/02/2001;17.7;1.047
19/02/2001;17.6;1.092
20/02/2001;17.4;1.083
21/02/2001;17.25;1.037
22/02/2001;17.35;1.028
23/02/2001;17.15;1.074
26/02/2001;17.25;1.111
27/02/2001;17;1.083
28/02/2001;16.45;1.037
01/03/2001;15.35;0.991
02/03/2001;15.45;0.982
05/03/2001;15.2;0.964
06/03/2001;15.4;1.001
07/03/2001;16;1.001
08/03/2001;15.75;1.001
09/03/2001;15.2;0.991
12/03/2001;14.2;0.946
13/03/2001;14.85;0.9
14/03/2001;13.95;0.881
15/03/2001;13.75;0.89
16/03/2001;14;0.9
19/03/2001;13.65;0.909
20/03/2001;13.5;0.9
21/03/2001;13.45;0.9
22/03/2001;12.05;0.845
23/03/2001;12.5;0.826
26/03/2001;13.1;0.808
27/03/2001;12.7;0.753
28/03/2001;12.95;0.771
29/03/2001;12.85;0.808
30/03/2001;12.55;0.826
02/04/2001;12.8;0.854
03/04/2001;12.85;0.854
04/04/2001;12.6;0.817
05/04/2001;12.6;0.817
06/04/2001;12.6;0.826
09/04/2001;12.05;0.817
10/04/2001;12.25;0.835
11/04/2001;13.2;0.835
12/04/2001;13.9;0.9
13/04/2001;13.9;0.9
16/04/2001;13.9;0.9
17/04/2001;13.85;0.927
18/04/2001;13.65;0.973
19/04/2001;14;0.955
20/04/2001;14.3;0.9
23/04/2001;13.8;0.936
24/04/2001;13.7;0.927
25/04/2001;13.9;0.918
26/04/2001;14;0.927
27/04/2001;13.95;0.955
30/04/2001;13.95;0.955
01/05/2001;13.95;0.955
02/05/2001;14.25;0.991
03/05/2001;14.05;0.964
04/05/2001;13.75;0.991
07/05/2001;13.85;1.047
08/05/2001;13.9;1.028
